,imdb_rating,n_lines,n_directions,n_speak_char,Angela,Dwight,Jim,Kevin,Michael,Oscar,Pam,Phyllis,Ryan,Stanley,Kelly,Toby,Meredith,Darryl,Creed,Andy,Erin,Charles McDougall,Greg Daniels,Ken Kwapis,Ken Whittingham,Other_director,Paul Feig,B.J. Novak,Gene Stupnitsky;Lee Eisenberg,Greg Daniels,Michael Schur,Other_writer,Paul Lieberstein,pos_score,neg_score
53,8.5,545,46,28,49.0,81.0,67.0,14.0,146.0,8.0,24.0,8.0,6.0,7.0,8.0,0.0,12.0,9.0,0.0,45.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0.168,0.097
54,8.7,452,53,28,4.0,38.0,41.0,9.0,136.0,25.0,50.0,2.0,21.0,7.0,12.0,2.0,1.0,10.0,7.0,11.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0.172,0.087
55,8.8,208,37,22,2.0,10.0,27.0,3.0,61.0,1.0,18.0,7.0,8.0,1.0,0.0,0.0,3.0,10.0,2.0,21.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0.17,0.091
56,8.5,281,32,13,0.0,38.0,69.0,2.0,82.0,10.0,15.0,2.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.166,0.103
57,8.3,233,64,15,7.0,25.0,68.0,2.0,65.0,7.0,11.0,4.0,0.0,2.0,1.0,16.0,5.0,0.0,12.0,7.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0.218,0.097
58,8.7,244,44,20,0.0,5.0,14.0,4.0,78.0,1.0,21.0,0.0,10.0,0.0,15.0,4.0,1.0,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.185,0.082
59,9.3,282,51,15,12.0,16.0,38.0,0.0,89.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0.18,0.099
60,8.1,220,61,20,1.0,17.0,21.0,20.0,72.0,2.0,35.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0.195,0.103
61,8.7,308,40,25,4.0,42.0,37.0,3.0,86.0,7.0,13.0,3.0,60.0,4.0,3.0,8.0,1.0,0.0,2.0,4.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0.173,0.117
62,8.4,255,26,15,3.0,32.0,23.0,8.0,87.0,2.0,16.0,7.0,6.0,23.0,1.0,10.0,0.0,13.0,1.0,23.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.177,0.106
63,7.9,188,55,20,4.0,9.0,19.0,7.0,45.0,5.0,33.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,12.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.166,0.071
64,9.3,516,96,22,14.0,37.0,59.0,23.0,159.0,1.0,42.0,16.0,5.0,1.0,4.0,37.0,4.0,2.0,7.0,7.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0.217,0.073
65,8.8,507,91,24,26.0,47.0,61.0,14.0,114.0,18.0,36.0,16.0,17.0,8.0,12.0,1.0,4.0,10.0,5.0,29.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0.183,0.12
66,8.3,220,39,18,2.0,14.0,27.0,5.0,58.0,5.0,9.0,3.0,3.0,3.0,3.0,0.0,13.0,0.0,1.0,12.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.189,0.085
67,8.1,270,48,16,13.0,35.0,27.0,4.0,79.0,3.0,25.0,7.0,0.0,2.0,2.0,0.0,1.0,9.0,2.0,13.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0.149,0.126
68,8.1,268,43,20,8.0,31.0,21.0,5.0,75.0,5.0,5.0,23.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,7.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.213,0.066
69,8.1,295,44,17,0.0,36.0,25.0,1.0,59.0,1.0,25.0,4.0,4.0,1.0,5.0,0.0,1.0,29.0,2.0,40.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.193,0.056
70,8.5,367,78,15,6.0,84.0,102.0,2.0,63.0,0.0,30.0,0.0,6.0,0.0,23.0,0.0,0.0,1.0,0.0,26.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.198,0.083
71,8.2,325,82,26,10.0,15.0,22.0,2.0,77.0,38.0,14.0,2.0,13.0,3.0,15.0,0.0,5.0,0.0,1.0,69.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.204,0.076
72,8.6,298,41,20,2.0,38.0,31.0,2.0,90.0,3.0,26.0,3.0,18.0,0.0,10.0,29.0,2.0,0.0,2.0,6.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.157,0.136
73,8.7,323,44,16,23.0,29.0,31.0,3.0,100.0,31.0,58.0,2.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,18.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0.198,0.085
74,8.4,240,42,19,12.0,27.0,26.0,3.0,65.0,5.0,6.0,19.0,0.0,4.0,1.0,15.0,36.0,6.0,1.0,8.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0.189,0.127
75,8.7,291,63,15,21.0,64.0,34.0,8.0,52.0,10.0,9.0,3.0,0.0,2.0,2.0,0.0,6.0,0.0,2.0,65.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.133,0.105
76,8.1,262,58,23,3.0,72.0,13.0,14.0,90.0,3.0,5.0,4.0,0.0,5.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0.151,0.109
77,9.6,416,93,26,16.0,72.0,35.0,8.0,118.0,10.0,31.0,11.0,0.0,28.0,3.0,0.0,3.0,6.0,4.0,23.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0.17,0.14
78,8.2,237,52,14,0.0,24.0,31.0,0.0,54.0,1.0,35.0,3.0,0.0,7.0,8.0,0.0,0.0,0.0,5.0,27.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0.184,0.113
79,8.2,252,60,17,16.0,33.0,33.0,15.0,47.0,11.0,37.0,1.0,0.0,2.0,16.0,0.0,9.0,0.0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0.175,0.098
